education,marital_status,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,response,age,cust_since,acc_camp,total_spent,household_size,cluster
1,1,58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,57,21,0,1617,2,2
1,1,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,60,3,0,27,4,3
1,0,71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,49,10,0,776,1,2
1,0,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,30,4,0,53,2,0
2,0,58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,33,5,0,422,2,0
2,0,62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,47,9,0,716,2,1
1,1,55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,43,19,0,590,3,1
2,0,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,29,13,0,169,2,0
2,0,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,40,12,0,46,2,0
2,0,5648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,64,3,1,49,3,3
0,0,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,38,19,0,61,1,0
1,1,63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,55,7,0,1102,2,2
2,1,59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,62,7,0,310,4,3
1,0,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,27,20,0,46,1,0
2,1,82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,68,19,2,1315,2,5
1,0,41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,34,18,0,96,3,3
1,0,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,68,21,0,317,1,0
2,0,76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,65,15,1,1782,2,1
0,1,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,29,19,0,133,3,0
1,0,37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,32,22,0,316,1,0
1,0,2447,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,35,17,0,1730,2,2
2,0,58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,65,18,1,972,2,1
